Time_id,Whangarei,Waitakere,Auckland (to 2010),Manukau City,Thames,Matamata,Hamilton,Taupo,Tauranga,Rotorua,Whakatane,Kawerau,Gisborne,Napier,New Plymouth,Stratford,Whanganui,Palmerston North,Porirua,Upper Hutt,Lower Hutt,Wellington,Masterton,Nelson,Kaikoura,Christchurch,Timaru,Dunedin,Invercargill,Auckland (from 2011)
1991Q1,279,804,1599,1293,60,141,459,168,282,336,171,66,225,225,258,54,204,297,306,156,477,642,102,159,15,1173,168,420,255,
1991Q2,279,678,1488,1161,57,132,435,126,258,303,150,45,225,231,255,42,183,252,267,144,438,549,81,147,12,987,135,366,216,
1991Q3,294,747,1533,1374,84,150,453,144,261,354,189,57,222,213,303,42,216,291,285,141,450,624,117,147,15,1131,132,474,228,
1991Q4,303,672,1437,1185,84,153,414,135,246,321,189,48,219,198,276,39,168,267,267,144,396,603,105,159,15,1110,126,402,228,
1992Q1,330,834,1620,1347,96,171,465,156,279,318,159,51,261,243,300,45,207,309,285,171,498,693,93,144,12,1197,153,432,216,
1992Q2,267,675,1365,1275,81,135,354,120,255,288,177,51,240,216,261,45,171,273,276,126,390,606,78,117,9,999,150,387,192,
1992Q3,261,753,1419,1302,72,144,411,120,246,291,165,42,276,198,279,45,204,273,264,141,441,537,111,150,12,1038,153,399,213,
1992Q4,306,666,1368,1185,75,150,444,144,255,306,168,54,189,222,237,45,183,240,264,174,432,591,111,153,9,1026,141,420,213,
1993Q1,318,774,1569,1314,63,138,441,150,288,333,144,63,261,231,273,54,201,303,255,159,453,594,93,153,9,1095,162,390,246,
1993Q2,279,750,1383,1248,87,126,411,132,246,300,156,51,246,171,270,42,192,297,258,132,402,558,84,105,15,972,141,372,198,
1993Q3,294,705,1488,1335,78,126,438,150,294,333,138,63,252,189,243,33,198,258,270,150,456,597,93,132,18,1098,135,375,231,
1993Q4,297,687,1437,1227,87,138,414,126,279,303,171,54,225,216,267,27,165,261,270,144,408,555,90,141,9,1032,141,393,210,
1994Q1,294,783,1449,1260,72,156,456,147,285,363,165,39,234,201,258,27,177,285,237,141,420,681,90,174,15,1134,141,384,213,
1994Q2,258,702,1377,1218,90,114,399,111,237,270,165,51,228,198,231,45,183,258,231,132,378,582,93,126,9,993,129,381,204,
1994Q3,276,723,1461,1242,90,117,480,123,264,300,132,39,252,222,285,39,186,267,255,171,423,573,93,126,9,1104,126,390,192,
1994Q4,255,771,1398,1239,69,108,408,147,246,312,162,36,237,204,237,45,168,297,258,120,411,531,78,141,12,1011,138,357,171,
1995Q1,306,789,1596,1338,84,120,501,135,288,330,159,48,270,243,279,45,189,300,264,147,432,624,84,129,12,1134,144,396,231,
1995Q2,270,684,1386,1248,87,120,459,132,252,273,180,51,207,186,240,36,198,282,255,141,390,546,96,126,15,1047,126,327,174,
1995Q3,282,732,1407,1335,66,123,432,126,243,321,138,45,222,222,237,39,186,267,243,153,417,576,102,114,9,1107,156,396,192,
1995Q4,273,738,1338,1287,57,117,426,135,273,309,156,36,207,207,231,36,186,249,231,111,378,561,78,147,15,1008,123,345,183,
1996Q1,291,783,1605,1365,81,111,453,141,297,315,141,54,246,237,273,45,195,276,210,132,429,597,78,144,18,1056,156,372,198,
1996Q2,276,717,1377,1263,60,93,405,120,249,321,144,39,210,213,204,36,171,288,225,141,405,564,84,141,6,999,123,324,183,
1996Q3,258,810,1512,1386,87,135,459,132,315,306,156,39,207,213,243,42,174,279,216,126,402,618,102,147,9,1116,126,375,198,
1996Q4,258,711,1497,1293,57,105,405,105,288,294,144,39,207,213,216,27,153,300,252,132,366,585,99,120,12,1065,138,372,192,
1997Q1,255,723,1455,1293,72,132,513,165,288,348,135,45,183,228,219,42,183,282,252,132,402,543,90,144,12,1026,117,321,165,
1997Q2,258,786,1503,1383,66,117,474,132,318,312,153,45,198,198,243,39,147,270,240,117,393,621,69,111,15,1107,126,357,204,
1997Q3,273,747,1446,1362,81,126,447,147,333,321,144,42,219,204,261,33,192,264,216,150,405,501,90,144,12,1143,132,381,198,
1997Q4,282,738,1500,1362,72,108,444,114,309,336,174,39,234,198,192,33,141,276,234,123,393,609,93,129,12,1086,129,345,189,
1998Q1,273,669,1419,1278,69,105,495,114,321,285,123,30,159,189,246,36,156,267,201,132,411,540,99,138,6,921,123,306,165,
1998Q2,249,714,1476,1314,63,114,447,123,303,306,132,42,204,195,213,45,162,246,240,144,384,591,93,105,15,1011,144,327,189,
1998Q3,279,714,1398,1380,63,102,450,117,348,324,138,36,186,186,267,30,159,276,222,147,420,612,84,150,6,1038,126,357,189,
1998Q4,234,738,1437,1275,63,120,471,120,285,258,135,39,201,165,228,30,150,258,234,138,402,546,69,132,15,1026,126,318,156,
1999Q1,243,768,1461,1359,66,114,516,108,321,279,135,33,198,189,219,36,141,270,258,102,405,588,81,111,12,1068,120,342,153,
1999Q2,249,771,1431,1386,78,132,453,114,309,294,150,33,183,195,231,45,138,249,246,135,372,624,75,138,12,1047,144,318,177,
1999Q3,279,744,1506,1545,78,138,471,144,318,315,165,36,201,201,210,30,168,279,270,126,405,579,84,132,9,1080,123,354,171,
1999Q4,258,762,1500,1413,81,120,492,126,327,315,138,33,186,180,246,30,162,255,240,132,426,621,93,141,6,1038,129,321,177,
2000Q1,240,798,1548,1455,81,120,447,111,327,300,138,30,186,195,210,27,180,309,210,147,423,669,69,132,9,1113,138,333,177,
2000Q2,228,780,1503,1434,75,111,492,123,378,300,120,39,204,198,237,36,165,246,222,123,381,591,87,126,9,1023,150,324,180,
2000Q3,258,747,1485,1458,69,102,447,117,306,255,135,33,207,183,255,27,165,294,234,147,384,588,75,144,9,1029,108,351,183,
2000Q4,240,729,1485,1389,78,102,420,105,315,264,117,24,177,159,189,33,126,252,234,111,369,603,75,144,12,1062,123,327,189,
2001Q1,252,681,1557,1518,87,117,525,129,363,276,123,24,222,189,207,30,159,261,246,150,399,615,90,150,9,1122,123,342,183,
2001Q2,228,768,1506,1410,69,108,459,96,345,285,147,33,183,198,219,30,153,282,261,156,411,600,84,132,15,1038,108,297,168,
2001Q3,213,759,1455,1395,75,99,471,105,333,264,123,33,198,192,219,24,135,261,222,108,411,582,60,150,18,1029,120,303,168,
2001Q4,219,765,1458,1347,72,102,471,105,288,261,138,36,159,162,213,27,132,234,204,123,402,576,84,114,12,1053,126,306,159,
2002Q1,219,738,1458,1431,66,111,462,111,348,270,138,39,201,177,198,36,144,252,219,120,360,597,69,117,6,1035,108,324,171,
2002Q2,240,747,1365,1356,57,96,417,117,309,264,132,36,183,192,204,24,135,210,195,123,339,552,75,117,9,996,120,282,159,
2002Q3,240,792,1560,1497,63,108,483,120,291,246,108,39,183,183,195,33,147,276,192,126,345,603,60,153,18,1020,117,321,159,
2002Q4,240,750,1521,1452,63,90,420,126,327,249,117,27,192,165,189,27,135,276,234,117,366,597,69,132,6,1014,102,336,171,
2003Q1,249,765,1551,1515,78,111,483,111,345,288,120,33,183,177,210,36,141,252,243,138,399,651,63,123,12,1119,114,315,153,
2003Q2,234,744,1413,1389,57,111,438,111,300,264,141,33,174,192,204,39,144,240,225,111,375,600,57,141,15,984,108,306,192,
2003Q3,258,813,1479,1509,51,87,480,120,336,267,126,45,171,201,183,33,147,243,210,114,384,630,72,135,12,1068,117,288,159,
2003Q4,258,804,1530,1536,57,108,543,117,327,273,141,33,177,213,216,39,123,264,207,150,381,645,60,126,9,1128,135,333,153,
2004Q1,255,801,1614,1488,69,126,537,120,387,312,144,27,204,183,210,36,141,267,210,120,384,645,90,159,9,1212,135,321,186,
2004Q2,270,843,1572,1581,72,105,450,111,339,261,120,27,183,180,186,21,135,249,219,138,384,588,78,162,9,1131,96,336,168,
2004Q3,282,825,1539,1602,57,108,465,120,363,309,129,30,195,198,228,27,129,243,204,120,381,618,75,123,9,1155,120,288,174,
2004Q4,243,798,1542,1527,78,102,495,132,324,276,111,27,171,204,189,33,135,264,186,123,378,603,72,135,6,1128,108,321,162,
2005Q1,285,774,1485,1521,57,129,543,120,354,276,138,36,189,183,234,24,141,282,225,114,387,600,81,129,12,1068,126,339,168,
2005Q2,270,789,1590,1575,63,111,540,114,381,267,123,30,204,189,240,42,153,261,210,123,342,615,66,138,9,1149,141,336,201,
2005Q3,237,795,1521,1506,69,111,495,114,363,282,135,27,195,198,228,21,132,291,207,141,393,597,57,129,9,1113,102,315,159,
2005Q4,246,774,1602,1581,78,96,474,105,342,255,153,36,192,183,186,45,141,282,210,132,354,624,69,123,6,1191,108,297,141,
2006Q1,276,888,1590,1656,78,120,504,114,375,309,135,33,180,198,258,33,156,285,222,132,384,633,69,129,12,1227,108,306,147,
2006Q2,288,813,1518,1539,57,90,540,105,363,282,126,30,192,189,207,27,159,264,240,132,375,636,90,132,12,1146,108,309,174,
2006Q3,279,876,1557,1641,60,96,519,123,357,297,144,30,171,180,243,33,135,276,222,132,357,648,90,120,12,1113,132,312,189,
2006Q4,276,810,1566,1524,75,81,519,96,387,258,132,18,174,180,237,33,144,255,210,96,366,651,72,138,12,1155,120,297,183,
2007Q1,309,906,1746,1734,78,117,555,126,402,288,153,30,237,216,255,33,147,306,219,144,435,699,84,159,15,1365,129,363,195,
