time_id;region;gender;ordinary_time_weekly;overtime_weekly
1999Q3;Auckland;Male;683.82;25.69
1999Q4;Auckland;Male;686.14;30.07
2000Q1;Auckland;Male;700.37;25.81
2000Q2;Auckland;Male;706.37;24.81
2000Q3;Auckland;Male;708.88;26.07
2000Q4;Auckland;Male;716.22;30.67
2001Q1;Auckland;Male;723.66;27.31
2001Q2;Auckland;Male;730.61;27.42
2001Q3;Auckland;Male;736.90;27.38
2001Q4;Auckland;Male;738.77;29.25
2002Q1;Auckland;Male;748.06;29.81
2002Q2;Auckland;Male;744.20;28.46
2002Q3;Auckland;Male;767.56;27.32
2002Q4;Auckland;Male;772.52;31.03
2003Q1;Auckland;Male;782.57;31.73
2003Q2;Auckland;Male;775.31;28.50
2003Q3;Auckland;Male;785.16;29.57
2003Q4;Auckland;Male;788.21;33.52
2004Q1;Auckland;Male;791.01;31.28
2004Q2;Auckland;Male;807.17;30.22
2004Q3;Auckland;Male;809.70;28.56
2004Q4;Auckland;Male;817.44;32.91
2005Q1;Auckland;Male;825.69;32.14
2005Q2;Auckland;Male;833.21;32.55
2005Q3;Auckland;Male;838.56;29.40
2005Q4;Auckland;Male;848.55;33.71
2006Q1;Auckland;Male;856.54;32.46
2006Q2;Auckland;Male;860.55;31.16
2006Q3;Auckland;Male;886.83;38.98
2006Q4;Auckland;Male;887.38;30.54
2007Q1;Auckland;Male;896.39;31.48
2007Q2;Auckland;Male;905.85;28.78
2007Q3;Auckland;Male;909.06;29.45
2007Q4;Auckland;Male;922.66;32.78
2008Q1;Auckland;Male;940.26;32.83
2008Q2;Auckland;Male;945.50;31.62
2008Q3;Auckland;Male;957.37;31.83
2008Q4;Auckland;Male;962.22;32.17
2009Q1;Auckland;Male;976.13;31.92
2009Q2;Auckland;Male;985.10;29.21
2009Q3;Auckland;Male;994.30;24.77
2009Q4;Auckland;Male;997.74;26.90
2010Q1;Auckland;Male;990.95;25.46
2010Q2;Auckland;Male;986.39;26.03
2010Q3;Auckland;Male;1000.07;26.77
2010Q4;Auckland;Male;1015.57;30.24
2011Q1;Auckland;Male;1012.37;29.68
2011Q2;Auckland;Male;1018.27;27.64
2011Q3;Auckland;Male;1033.69;27.93
2011Q4;Auckland;Male;1042.71;28.17
2012Q1;Auckland;Male;1057.51;28.92
2012Q2;Auckland;Male;1074.57;30.63
2012Q3;Auckland;Male;1084.47;26.21
2012Q4;Auckland;Male;1086.72;30.76
2013Q1;Auckland;Male;1102.23;31.41
2013Q2;Auckland;Male;1119.31;31.28
2013Q3;Auckland;Male;1132.00;28.61
2013Q4;Auckland;Male;1121.13;33.44
2014Q1;Auckland;Male;1127.25;33.27
2014Q2;Auckland;Male;1125.27;32.77
2014Q3;Auckland;Male;1130.26;27.36
2014Q4;Auckland;Male;1132.46;33.43
2015Q1;Auckland;Male;1141.67;32.85
2015Q2;Auckland;Male;1154.44;30.21
2015Q3;Auckland;Male;1160.86;28.29
2015Q4;Auckland;Male;1165.64;31.16
2016Q1;Auckland;Male;1158.80;30.58
2016Q2;Auckland;Male;1182.77;31.53
2016Q3;Auckland;Male;1168.88;30.33
2016Q4;Auckland;Male;1183.97;29.38
2017Q1;Auckland;Male;1177.73;28.97
2017Q2;Auckland;Male;1191.27;32.81
2017Q3;Auckland;Male;1211.86;30.92
2017Q4;Auckland;Male;1230.43;32.80
2018Q1;Auckland;Male;1236.79;34.50
2018Q2;Auckland;Male;1242.28;31.46
2018Q3;Auckland;Male;1254.88;28.66
2018Q4;Auckland;Male;1272.52;33.36
2019Q1;Auckland;Male;1286.58;32.45
2019Q2;Auckland;Male;1300.36;34.88
2019Q3;Auckland;Male;1293.68;29.47
2019Q4;Auckland;Male;1298.05;31.76
2020Q1;Auckland;Male;1319.39;34.74
2020Q2;Auckland;Male;1278.90;22.92
2020Q3;Auckland;Male;1312.42;26.97
2020Q4;Auckland;Male;1337.11;29.71
1999Q3;Auckland;Female;470.86;9.60
1999Q4;Auckland;Female;476.13;12.06
2000Q1;Auckland;Female;477.95;10.29
2000Q2;Auckland;Female;477.00;9.27
2000Q3;Auckland;Female;482.49;8.78
2000Q4;Auckland;Female;485.71;10.12
2001Q1;Auckland;Female;491.31;11.28
2001Q2;Auckland;Female;511.15;9.93
2001Q3;Auckland;Female;512.31;8.70
2001Q4;Auckland;Female;511.31;9.97
2002Q1;Auckland;Female;524.93;10.62
2002Q2;Auckland;Female;517.34;8.89
2002Q3;Auckland;Female;526.19;9.07
2002Q4;Auckland;Female;530.82;10.15
2003Q1;Auckland;Female;545.19;10.31
2003Q2;Auckland;Female;541.78;8.71
2003Q3;Auckland;Female;535.95;8.96
2003Q4;Auckland;Female;547.77;10.79
2004Q1;Auckland;Female;558.38;10.18
2004Q2;Auckland;Female;557.08;8.15
2004Q3;Auckland;Female;549.41;7.89
2004Q4;Auckland;Female;561.53;9.86
2005Q1;Auckland;Female;564.72;10.20
