"ECE_Id","Org_Name","Telephone","Fax","Email","Add1_Line1","Add1_Suburb","Add1_City","Org_Type","Definition","Authority","20_Hrs_ECE","Equity_Index","Territorial_Authority","Regional_Council","Education_Region","General_Electorate","Māori_Electorate","Area_Unit","Ward","Contact1_Name","Add2_Line1","Add2_Suburb","Add2_City","Management_Telephone","Management_Fax","Col_Id","Col_Name","Latitude","Longitude","All_Children","Under_2s","Age_0","Age_1","Age_2","Age_3","Age_4","Age_5","Roll_Date","Total","European","Māori","Pacific","Asian","Other"
"45557",Auckland Point Kindergarten,"03 546 3383","",aucklandpointkindergarten@ntk.org.nz,"111 Haven Road","",Nelson,Free Kindergarten,Not Applicable,Community based,Yes,EQI 4,Nelson City,Nelson Region,Nelson/Marlborough/West Coast,Nelson,Te Tai Tonga,Britannia,Area Outside Ward,Craig Vercoe,P O Box 360,Nelson,Nelson 7040,"03-5418922","","99005",Nelson City Community of Learning,-41.268354000,"173.277930000","50","25","6","19","8","10","18","1","2020-07-01 00:00:00.0000000","62","29","25","0","3","2"
"45559",Seedlings Education ,"09 273 5525","09 273 5535","","3/12 Laidlaw Way",East Tamaki,Auckland,Homebased Network,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Otara-Papatoetoe,Auckland Region,Auckland,Botany,Tamaki Makaurau,Rongomai,Manukau Ward,Adam Brunt,"2/9 Inkerman Street",Onehunga,Auckland 1061,"","","","",-36.960516000,"174.896069000","60","60","9","8","12","10","4","0","2020-07-01 00:00:00.0000000","43","0","0","0","43","0"
"45562",A Fun Place To Be Childcare,"07 868 5587","",funplace@xtra.co.nz,"3 Maramarahi Road","",Thames,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Thames-Coromandel District,Waikato Region,Waikato,Coromandel,Hauraki-Waikato,Parawai,Thames Ward,Kylie Lees,"3 Maramarahi Road","",Thames 3500,"07-8683090","","","",-37.161549000,"175.555302000","42","12","0","9","10","17","14","0","2020-07-01 00:00:00.0000000","50","32","11","0","3","0"
"45568",Nurture Early Learning Centre,"09 820 2396","",info@nurtureearlylearning.co.nz,"391 Rosebank Road",Avondale,Auckland,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Auckland - Whau,Auckland Region,Auckland,Kelston,Tamaki Makaurau,Rosebank,Whau Ward,Trudie Kroef,P O Box 10263,Dominion Road,Auckland 1446,"","","","",-36.882482000,"174.679460000","100","36","5","23","23","27","22","0","2020-07-01 00:00:00.0000000","100","49","8","0","28","3"
"45565",Minerva House,"03 355 8886","",info@minervahouse.co.nz,"90 McFaddens Road",St Albans,Christchurch,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Christchurch City,Canterbury Region,Canterbury/Chatham Islands,Christchurch Central,Te Tai Tonga,Rutland,Papanui Ward,Peter Wortley,"90 McFaddens Road",Saint Albans,Christchurch 8052,"03-3541673","","","",-43.500160000,"172.629610000","50","14","3","8","22","20","14","1","2020-07-01 00:00:00.0000000","68","49","4","0","12","2"
"45569",Sonrise Christian Preschool,"06 867 6440","06 867 6441",admin@sonrisepreschool.school.nz,"451 A Nelson Road",Riverdale,Gisborne,Education and Care Service,Not Applicable,Community based,Yes,EQI 5+,Gisborne District,Gisborne Region,Hawke's Bay/Tairawhiti,East Coast,Ikaroa-Rawhiti,Riverdale,Gisborne Ward,Caroline  Cave,P O Box 3082,Kaiti,Gisborne 4041,"06-8639876","06-8639864","","",-38.642030000,"177.992672000","39","0","0","0","7","6","19","0","2020-07-01 00:00:00.0000000","32","2","22","0","0","4"
"45558",Planet Sunshine Early Childhood Service,"06 869 0500","06 869 0548",nicki.dever@tdh.org.nz,Gisborne Hospital 421 Ormond Road,Mangapapa,Gisborne,Hospital Based,Hospital Play/Recreation Programme,Community based,No,EQI 1,Gisborne District,Gisborne Region,Hawke's Bay/Tairawhiti,East Coast,Ikaroa-Rawhiti,Riverdale,Gisborne Ward,Nicki Dever,Tairawhiti District Health  Private Bag 7001,"",Gisborne 4010,"06-8690500 Ext 8240","06-8690583","","",-38.638596000,"178.002911000","11","5","","","","","","","2020-07-01 00:00:00.0000000","","","","","",""
"45580",The CubbyHouse Early Childhood Centre - Palmerston North,"06 358 2294","06 358 2295",palmerstonnorth@thecubbyhouse.co.nz,"715 Pioneer Highway",Takaro,Palmerston North,Education and Care Service,Not Applicable,Privately owned,Yes,EQI 5+,Palmerston North City,Manawatu-Wanganui Region,Taranaki/Whanganui/Manawatu,Palmerston North,Te Tai Hauauru,Takaro,Area Outside Ward,Heidi Massicks,P O Box 628,Stanmore Bay,Whangaparaoa 0943,"06-323 9697","","99166",Te Oro Karaka Rua Kāhui Ako,-40.362738000,"175.595907000","130","35","6","27","27","40","27","3","2020-07-01 00:00:00.0000000","130","75","42","0","8","3"
"45870",BestStart Heuheu Street Kindy,"07 376 5131","",heuheu.kindy@best-start.org,"105 Heuheu St","",Taupo,Education and Care Service,Not Applicable,Privately owned,Yes,Not Applicable / Unknown,Taupo District,Waikato Region,Bay of Plenty/Waiariki,Taupo,Waiariki,Taupo Central,Taupo-Kaingaroa Ward,Samantha Guthrie,P O Box 276177,Manukau City,South Auckland 2241,"","","99020",Taupō Community of Schools,-38.689035000,"176.075026000","50","0","0","0","8","17","25","3","2020-07-01 00:00:00.0000000","53","15","22","0","10","2"
"45882",PORSE Nelson/Marlborough/West Coast Q1,"03 578 9333","",licensing@porse.co.nz,"1 Market Street","",Blenheim,Homebased Network,Not Applicable,Privately owned,Yes,EQI 5+,Marlborough District,Marlborough Region,Nelson/Marlborough/West Coast,Kaikoura,Te Tai Tonga,Blenheim Central,Blenheim Ward,Heather Stirling,P O Box 200,"",Hastings 4156,"03-5789333","","","",-41.511150000,"173.957385000","80","80","0","9","12","13","8","2","2020-07-01 00:00:00.0000000","44","32","6","0","2","0"
